Property Name,Description,Price,Type,Location,Image URL,WhatsApp Message,
6.5 Acre - Ooty Kodanad,"6.5 Acres With Tea And Coffee Estate Sales
Tea Coffee Fruits Bird Of Paradise Plantations<Br>
3 Sides Jungle Ample Scenic View <Br>
Ample Water Facilities From Nature<Br>
Monthly 4 Lakhs Income<Br>
2 British Bungalows Inside Wherein Foreign Visitors Stay Often <Br>",85 Lakhs/acre,Sale,Kothagiri,kodanad.jpg,I'm interested in 6.5 Acre - Ooty Kodanad,
DTCP Plot - Coimbatore Vadavalli,"GKS AVENUE <Br>
Near Parambariyam Hotel<Br>
40*70 6.4 CENTS NORTH <Br>
DTP APPROVED <Br>
",17 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in GKS DTCP Plot in Vadavalli,
50 Cents Land - Coimbatore Vadavalli,Iob Colony <Br>50 Cents Land  <Br>South Face <Br>30 Feet Road <Br>5.50 Lakhs Per Cent,5.50 Lakhs/cent,Rent,Vadavalli,farm.jpg,Interested in 50 cents land in IOB,
DTCP Plot - Coimbatore Vadavalli,"Kannapar Nagar<Br>
46*120 East And South 2 Sides Road<Br>
12.7 Cents Dtp Approved<Br>
30 Feet Road<Br>",16 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in Kannapar DTCP Plot in Vadavalli,
33 Acre - Kerala Attapadi,33 Acres Agri Land <Br>At 15l Per Acre <Br>Kadambarai <Br>Two Wells <Br>Cheapest At This Place,15 Lakhs / acre,Sale,Kerala - Attapadi,farm.jpg,I'm interested in 33 Acre - Attapadi,
DTCP Plot - Coimbatore Thondamuthur,"Mini Gated Community Fresh Plots Sale<Br>
On The Way To Isha Yoga<Br> Devarayapuram<Br>
30*40 2.75 Cents East And North Available<Br>
30 And 23 Feet Thar Road<Br>
Dtp Approved <Br>
Walkable Distance From Main Road<Br>
",5.5 Lakhs / cent,Sale,Thondamuthur,dtcp.jpg,Interested in DTCP Plot in Devarayapuram,
11 Cents - Vadavalli - Siruvani main road,"On Siruvani Main Road <Br> 
Near Ks Bakes<Br> 
Near Veerakeralam<Br> 
50*100 11 Cents <Br> 
South Face
",20 Lakhs /cent,Sale,Vadavalli,mainroad.jpg,Interested in 11 Cents - Vadavalli - Siruvani main road,
50 CENTS - COIMBATORE KANUVAI,"50 Cents North East Corner Sale<Br>
Coimbatore Kanuvai<Br>
On Kanuvai To  Thadagam Road<Br>
",10 Lakhs /cent,Sale,Kanuvai,farm.jpg,Interested in 50 CENTS - COIMBATORE KANUAVAI,
Unappproved Plot - Coimbatore PN Pudur,"Gokulam colony <br>
5.25 CENTS EAST FACE<br>
UNAPPROVED",19 Lakhs/cent,Sale,PN PUDUR,farm.jpg,Interested in Unappproved Plot - Coimbatore PN Pudur,
DTCP Plot - Coimbatore Vadavalli,"Coimbatore Vadavalli <br>
Vadavalli to Edayarpalayam<br>
Walkable from main road<br>
30*52 3.50 Cents North <br>
DTP Approved<br>
",23 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"Coimbatore Vadavalli <br>
Bannari Amman Nagar<br>
Walkable from main road<br>
3.60 Cents East and 4 Cents North <br>
DTP Approved<br>
",15 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"Surveyor Colony<br>
Walkable from main road<br>
5 Cents North <br>
DTP Approved<br>
",12 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
50 Cents - COIMBATORE Anaikatti,"Near Anaikatti Bus Stand <br>
Bus stand to site 8kms<br>
TN Registration<br>
Kothara to Mannarkarkad Highway road<br>
30 Feet Road",2.50 Lakhs/cent,Sale,Anaikatti,farm.jpg,Interested in 50 CENTS - COIMBATORE Anaikatti,
DTCP Plot - Coimbatore Vadavalli,"Lawyers Colony <br>
South Face 50*80 <br>
Near To Siruvani Road<br>
9 Cents Dtp Approved<br>
30 Feet Road<br>",13.50 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"Karikalan Nagar <br>
Behind Kannapar Nagar<br>
30*45 3 Cents Dtp Approved<br>
30 Feet Road
",13.50 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"IOB Colony<br>
Near Surabi Enclave<br>
40*60 5.50 Cents South Face<br>
Dtp Approved <br>
",9 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
Old House - Coimbatore Vadavalli,"40*70 6.5 CENTS WITH 30 YEARS OLD HOUSE FOR SALE
COIMBATORE VADAVALLI 
MAHARANI AVENUE 
NORTH FACE DTP Approved",18 Lakhs/cent,Sale,Vadavalli,house.jpg,Interested in Old House - Coimbatore Vadavalli,
Old House - Coimbatore Vadavalli,"VERY OLD HOUSE RESALE ONLY LAND RATE
COIMBATORE VADAVALLI
SUPER GARDEN
DTCP 40*70 6.5 CENTS SOUTH FACE
EB WATER
WALKABLE FROM MAIN ROAD
0.5 KM FROM VADAVALLI BUS STAND",1.40 Crores,Sale,Vadavalli,house.jpg,Interested in Old House - Coimbatore Vadavalli, 
DTCP Plot - Coimbatore Vadavalli,"MAHARANI AVENUE 
40*71 6.2 CENTS EAST 
DTP APPROVED ",18 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"ARUN NAGAR 
THIRD SITE FROM THONDAMUTHUR MAIN ROAD
40*60 5.5 CENTS EAST 
DTP APPROVED ",26 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
DTCP Plot - Coimbatore Vadavalli,"
VEERAKERALAM 
SAKTHI GANAPATHY NAGAR
30*43 3 CENTS NORTH FACE  DTP Approved",10 Lakhs /cent,Sale,Vadavalli,dtcp.jpg,Interested in DTCP Plot - Coimbatore Vadavalli,
35 CENTS - COIMBATORE Alandurai,"35 CENTS AGRI LAND
 SUITABLE FOR FARM HOUSE SALE
COIMBATORE ALANDURAI
SOUTH FACE
ALANDURAI MAIN ROAD TO SITE 2.5 Kms
THAR ROAD FROM MAIN ROAD 
200M TO LAND MUD ROAD
ALANDURAI TOWN ",1.7 Lakhs/cent,Sale,Alandurai,farm.jpg,I am interested in 50 CENTS - COIMBATORE Alandurai,
DTCP Plot - Coimbatore Vadavalli,"TAUTA NAGAR
3 to 4 CENTS 4 SITES EAST FACE
30 FEET ROAD",16 Lakhs/cent,Sale,Vadavalli,dtcp.jpg,I am interested in DTCP Plot - Coimbatore Vadavalli,
2 ACRES DRY AGRI LAND - Coimbatore Alandurai,NEAR FOOT HILLS WITH SCENERIC VIEW,1.70 Crores Totally,Sale,Alandurai,farm.jpg,I am interested in 2 ACRES DRY AGRI LAND - Coimbatore Alandurai,
75 Cents Land - Coimbatore Vadavalli,"Kannapar Nagar<Br>
Nearer to Siruvani main Road<Br>
30 Feet Road<Br>",7 Lakhs/cent,Sale,Vadavalli,farm.jpg,I am interested in 75 Cents Land - Coimbatore Vadavalli,
